Name	URL	DE	EN	FR	ES	IT	NL
RAL 1000-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-1.png	Grünbeige	Green beige	Beige vert	Beige verdoso	Beige verdastro	Groenbeige
RAL 1001-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-2.png	Beige					
RAL 1002-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-3.png	Sandgelb	Sand yellow	Jaune sable	Amarillo arena	Giallo sabbia	Zandgeel
RAL 1004-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-4.png	Goldgelb	Golden yellow	Jaune or	Amarillo oro	Giallo oro	Goudgeel
RAL 1011-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-5.png	Braunbeige	Brown beige	Beige brun	Beige pardo	Beige marrone	Bruinbeige
RAL 1012-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-6.png	Zitronengelb	Lemon yellow	Jaune citron	Amarillo limón	Giallo limone	Citroengeel
RAL 1013-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-7.png	Perlweiß	Oyster white	Blanc perlé	Blanco perla	Bianco perla	Parelwit
RAL 1015-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-8.png	Hellelfenbein	Light ivory	Ivoire clair	Marfil claro	Avorio chiaro	Licht ivoorkleurig
RAL 1016-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-9.png	Schwefelgelb	Sulfur yellow	Jaune soufre	Amarillo azufre	Giallo zolfo	Zwavelgeel
RAL 1017-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-10.png	Safrangelb	Saffron yellow	Jaune safran	Amarillo azafrán	Giallo zafferano	Saffraangeel
RAL 1018-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-11.png	Zinkgelb	Zinc yellow	Jaune zinc	Amarillo de zinc	Giallo zinco	Zinkgeel
RAL 1020-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-12.png	Olivgelb	Olive yellow	Jaune olive	Amarillo oliva	Giallo olivastro	Olijfgeel
RAL 1021-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-13.png	Rapsgelb	Colza yellow	Jaune colza	Amarillo colza	Giallo navone	Koolzaadgeel
RAL 1028-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-14.png	Melonengelb	Melon yellow	Jaune melon	Amarillo melón	Giallo melone	Meloengeel
RAL 1033-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-15.png	Dahliengelb	Dahlia yellow	Jaune dahlia	Amarillo dalia	Giallo dahlien	Dahliageel
RAL 2000-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-16.png	Gelborange	Yellow orange	Orangé jaune	Amarillo naranja	Arancio giallastro	Geeloranje
RAL 2002-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-17.png	Blutorange	Vermilion	Orangé sang	Naranja sanguineo	Arancio sanguigno	Vermiljoen
RAL 2003-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-18.png	Pastellorange	Pastel orange	Orangé pastel	Naranja pálido	Arancio pastello	Pasteloranje
RAL 2004-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-19.png	Reinorange	Pure orange	Orangé pur	Naranja puro	Arancio puro	Zuiver oranje
RAL 2008-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-20.png	Hellrotorange	Bright red orange	Orangé rouge clair	Rojo claro anaranjado	Rosso arancio chiaro	Licht roodoranje
RAL 2012-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-21.png	Lachsorange	Salmon orange	Orangé saumon	Naranja salmón	Arancio salmone	Zalmoranje
RAL 3000-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-22.png	Feuerrot	Flame red	Rouge feu	Rojo vivo	Rosso fuoco	Vuurrood
RAL 3002-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-23.png	Karminrot	Carmine red	Rouge carmin	Rojo carmin	Rosso carminio	Karmijnrood
RAL 3003-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-24.png	Rubinrot	Ruby red	Rouge rubis	Rojo rubí	Rosso rubino	Robijnrood
RAL 3004-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-25.png	Purpurrot	Purple red	Rouge pourpre	Rojo púrpura	Rosso porpora	Purperrood
RAL 3012-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-26.png	Beigerot	Beige red	Rouge beige	Rojo beige	Rosso beige	Beigerood
RAL 3014-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-27.png	Altrosa	Antique pink	Vieux rose	Rojo viejo	Rosa antico	Oudroze
RAL 3015-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-28.png	Hellrosa	Light pink	Rose clair	Rosa claro	Rosa chiaro	Lichtroze
RAL 3016-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-29.png	Korallenrot	Coral red	Rouge corail	Rojo coral	Rosso corallo	Koraalrood
RAL 3018-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-30.png	Erdbeerrot	Strawberry red	Rouge fraise	Rojo fresa	Rosso fragola	Aardbeirood
RAL 3020-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-31.png	Verkehrsrot	Traffic red	Rouge signalisation	Rojo tráfico	Rosso traffico	Verkeersrood
RAL 3027-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-32.png	Himbeerrot	Raspberry red	Rouge framboise	Rojo frambuesa	Rosso lampone	Framboosrood
RAL 3028-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-33.png	Reinrot	Pure red	Rouge pu	Rojo puro 	Rosso puro	Zuiver rood 
RAL 4001-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-34.png	Rotlila	Red lilac	Lilas rouge	Rojo lila	Lilla rossastro	Roodlila
RAL 4002-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-35.png	Rotviolett	Red violet	Violet rouge	Rojo violeta	Viola rossastro	Roodpaars
RAL 4003-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-36.png	Erikaviolett	Heather violet	Violet bruyère	Violeta érica	Viola erica	Heidepaars
RAL 4005-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-37.png	Blaulila	Blue lilac	Lilas bleu	Lila azulado	Lilla bluastro	Blauwlila
RAL 4006-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-38.png	Verkehrspurpur	Traffic purple	Pourpre signalisation	Púrpurá tráfico	Porpora traffico	Verkeerspurper
RAL 4007-P	https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p1-39.png	Purpurviolett	Purple violet	Violet pourpre	Violeta púrpura	Porpora violetto	Purperviolet
