URL	HHH LL CC
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-1.png	000 15 00-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-2.png	000 40 00-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-3.png	000 55 00-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-4.png	000 55 00-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-5.png	000 85 00-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-6.png	010 30 44-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-7.png	010 40 53-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-8.png	010 40 53-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-9.png	010 60 45-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-10.png	010 80 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-11.png	020 20 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-12.png	020 30 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-13.png	020 50 58-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-14.png	020 50 58-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-15.png	020 90 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-16.png	030 30 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-17.png	030 40 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-18.png	030 40 30-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-19.png	030 60 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-20.png	030 80 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-21.png	040 30 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-22.png	040 50 60-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-23.png	040 50 60-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-24.png	040 60 60-P
