URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-1.png	RAL 1000	Grünbeige	Green beige	Beige vert	Beige verdoso	Beige verdastro	Groenbeige
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-2.png	RAL 1001	Beige					
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-3.png	RAL 1002	Sandgelb	Sand yellow	Jaune sable	Amarillo arena	Giallo sabbia	Zandgeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-4.png	RAL 1003	Signalgelb	Signal yellow	Jaune de sécurité	Amarillo señales	Giallo segnale	Signaalgeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-5.png	RAL 1004	Goldgelb	Golden yellow	Jaune or	Amarillo oro	Giallo oro	Goudgeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-6.png	RAL 1005	Honiggelb	Honey yellow	Jaune miel	Amarillo miel	Giallo miele	Honinggeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-7.png	RAL 1006	Maisgelb	Maize yellow	Jaune maïs	Amarillo maiz	Giallo polenta	Maisgeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-8.png	RAL 1007	Narzissengelb	Daffodil yellow	Jaune narcisse	Amarillo narciso	Giallo narciso	Narcissengeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-9.png	RAL 1011	Braunbeige	Brown beige	Beige brun	Beige pardo	Beige marrone	Bruinbeige
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-10.png	RAL 1012	Zitronengelb	Lemon yellow	Jaune citron	Amarillo limón	Giallo limone	Citroengeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-11.png	RAL 1013	Perlweiß	Oyster white	Blanc perlé	Blanco perla	Bianco perla	Parelwit
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-12.png	RAL 1014	Elfenbein	Ivory	Ivoire	Marfil	Avorio	Ivoorkleurig
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-13.png	RAL 1015	Hellelfenbein	Light ivory	Ivoire clair	Marfil claro	Avorio chiaro	Licht ivoorkleurig
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-14.png	RAL 1016	Schwefelgelb	Sulfur yellow	Jaune soufre	Amarillo azufre	Giallo zolfo	Zwavelgeel
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-15.png	RAL 1017	Safrangelb	Saffron yellow	Jaune safran	Amarillo azafrán	Giallo zafferano	Saffraangeel
