URL	HLC	DE	EN
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-1.png	000 15 00	Tintenschwarz	Ink black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-2.png	000 20 00	Schieferschwarz	Slate black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-3.png	000 25 00	Onyxschwarz	Onyx black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-4.png	000 30 00	Mittelschwarz	Medium black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-5.png	000 35 00	Brikettgrau	Briquette grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-6.png	000 40 00	Dunkelgrau	Dark grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-7.png	000 45 00	Architekturgrau	Architecture grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-8.png	000 50 00	Stahlgrau	Steel grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-9.png	000 55 00	Mittelgrau	Medium grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-10.png	000 60 00	Aschgrau	Ash grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-11.png	000 65 00	Mörtelgrau	Mortar grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-12.png	000 70 00	Leichtgrau	Light grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-13.png	000 75 00	Marmorgrau	Marble grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-14.png	000 80 00	Nebelgrau	Foggy grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-15.png	000 85 00	Schattenweiß	Shadow white
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-16.png	000 90 00	Winterweiß	Winter white
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-17.png	010 20 10	Wengeschwarz	Wenge Black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-18.png	010 20 15	Kirschenschwarz	Cherry black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-19.png	010 20 20	Dunkelmahagoni	Dark mahogany
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-20.png	010 20 25	Rostrot	Rusty red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-21.png	010 30 10	Holzschwarzrot	Wood-black red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-22.png	010 30 15	Nachtmauve	Night mauve
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-23.png	010 30 20	Rosigbraun	Pinkish brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-24.png	010 30 25	Kastanienrot	Chestnut red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-25.png	010 30 30	Lederrot	Leather red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-26.png	010 30 35	Anthrazitrot	Anthracite red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-27.png	010 30 40	Braunmagenta	Brown magenta
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-28.png	010 30 44	Atlasrot	Atlas red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-29.png	010 40 10	Caputmortuumgraurot	Caput mortuum grey red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-30.png	010 40 15	Rostbraun	Rust brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-31.png	010 40 20	Abendrot	Sunset red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-32.png	010 40 25	Mineralrot	Mineral red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-33.png	010 40 30	Trübmagenta	Dull magenta
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-34.png	010 40 35	Samtrot	Velvet red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-35.png	010 40 40	Algenrot	Algae red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-36.png	010 40 45	Himbeereisrot	Raspberry ice red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-37.png	010 40 50	Fuchsiarot	Fuchsia red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-38.png	010 40 53	Urrot	Primal red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-39.png	010 50 10	Altmahagoni	Old mahogany
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-40.png	010 50 15	Trübaltrosa	Dull dusky pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-41.png	010 50 20	Backsteinrot	Brickwork red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-42.png	010 50 25	Mattkarmin	Matte carmine
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-43.png	010 50 30	Marmorrot	Marble red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-44.png	010 50 35	Geranienrot	Geranium red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-45.png	010 50 40	Schieferrosa	Slate pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-46.png	010 50 45	Tulipanrot	Tulip red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-47.png	010 50 50	Lichtrot	Vibrant red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-48.png	010 60 10	Fliedergrau	Lilac grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-49.png	010 60 15	Eisorchideenrot	Orchid red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-50.png	010 60 20	Kalkrosa	Lime pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-51.png	010 60 25	Lippenstiftrosa	Lipstick pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-52.png	010 60 30	Japankoralle	Japanese coral
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-53.png	010 60 35	Rosenrot	Rose red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-54.png	010 60 40	Erdbeershakerot	Strawberry milkshake red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-55.png	010 60 45	Leuchtendrosa	Luminous pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-56.png	010 70 10	Blassmauve	Pale mauve
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-57.png	010 70 15	Puderrosé	Powder rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-58.png	010 70 20	Silberrosé	Silver rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-59.png	010 70 25	Flamingorosa	Flamingo pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-60.png	010 70 30	Kirschblütenrosa	Cherry blossom pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-61.png	010 70 35	Babyrosa	Baby pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-62.png	010 80 10	Schlammpink	Mud pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-63.png	010 80 15	Eispink	Ice hot pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-64.png	010 80 20	Pastellrosa	Pastel pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-65.png	010 85 05	Perlrosé	Pearl rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-66.png	010 85 10	Lachsrosé	Salmon rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-67.png	010 85 15	Milchshakerosa	Milkshake pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-68.png	010 85 20	Inkarnatrosé	Flesh pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-69.png	010 90 05	Rosécreme	Rose cream
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-70.png	010 90 10	Hellapricot	Light apricot
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-71.png	010 93 05	Weißrötlich	White-red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-72.png	020 20 05	Tiefbraun	Deep brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-73.png	020 20 10	Nachtröte	Night red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-74.png	020 20 20	Dunkelrotbraun	Dark red brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-75.png	020 20 29	Burgunderrot	Burgundy
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-76.png	020 30 05	Rhodonitbraun	Rhodonite brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-77.png	020 30 10	Budapesterbraun	Budapest brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-78.png	020 30 20	Kremlrot	Kremlin red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-79.png	020 30 30	Kristalldunkelrot	Crystal dark red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-80.png	020 30 40	Amaranthblüte	Amaranth blossom
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-81.png	020 30 48	Vogelkirschenrot	Sweet cherry red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-82.png	020 40 05	Graubräunlich	Greyish brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-83.png	020 40 10	Nussbaumbraun	Nut brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-84.png	020 40 20	Antikrot	Antique red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-85.png	020 40 30	Hermosarosa	Hermosa pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-86.png	020 40 40	Oktoberrot	October red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-87.png	020 40 50	Knallrot	Bright red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-88.png	020 50 05	Zirkongrau	Zircon grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-89.png	020 50 10	Sandsteinrotgrau	Sandstone red grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-90.png	020 50 20	Rotgrau	Red grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-91.png	020 50 30	Venezianerrot	Venetian red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-92.png	020 50 40	Schwedenkleerot	Alsike clover red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-93.png	020 50 50	Flammenrot	Flame red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-94.png	020 50 58	Preiselbeerenrot	Lingonberry red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-95.png	020 60 05	Kugeldistelgraurosé	Globe thistle grey rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-96.png	020 60 10	Blechrosa	Tin pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-97.png	020 60 20	Retrorosa	Retro pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-98.png	020 60 30	Begonienrostrosé	Begonia rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-99.png	020 60 40	Lotusrot	Lotus red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-100.png	020 70 05	Fashionmauve	Fashion mauve
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-101.png	020 70 10	Turmalinmauve	Tourmaline mauve
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-102.png	020 70 20	Rosenholzapricot	Rosewood apricot
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-103.png	020 70 30	Markerrosa	Marker pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-104.png	020 80 05	Auroragrau	Aurora grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-105.png	020 80 10	Quarzrosé	Quartz rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-106.png	020 80 20	Marzipanrosa	Marzipan pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-107.png	020 85 05	Mandelblütenrosa	Almond blossom pink
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-108.png	020 85 10	Lachscreme	Salmon cream
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-109.png	020 85 20	Elegantlichtrosé	Elegant light rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-110.png	020 90 05	Muschelweiß	Mussel white
