ID	DE	EN	FR	ES	IT	NL	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
RAL 1000	Grünbeige	Green beige	Beige vert	Beige verdoso	Beige verdastro	Groenbeige	classic-1	
RAL 1001	Beige	Beige	Beige	Beige	Beige	Beige	classic-2	
RAL 1002	Sandgelb	Sand yellow	Jaune sable	Amarillo arena	Giallo sabbia	Zandgeel	classic-3	
RAL 1003	Signalgelb	Signal yellow	Jaune de sécurité	Amarillo señales	Giallo segnale	Signaalgeel	classic-4	
RAL 1004	Goldgelb	Golden yellow	Jaune or	Amarillo oro	Giallo oro	Goudgeel	classic-5	
RAL 1005	Honiggelb	Honey yellow	Jaune miel	Amarillo miel	Giallo miele	Honinggeel	classic-6	
RAL 1006	Maisgelb	Maize yellow	Jaune maïs	Amarillo maiz	Giallo polenta	Maisgeel	classic-7	
RAL 1007	Narzissengelb	Daffodil yellow	Jaune narcisse	Amarillo narciso	Giallo narciso	Narcissengeel	classic-8	
RAL 1011	Braunbeige	Brown beige	Beige brun	Beige pardo	Beige marrone	Bruinbeige	classic-9	
RAL 1012	Zitronengelb	Lemon yellow	Jaune citron	Amarillo limón	Giallo limone	Citroengeel	classic-10	
RAL 1013	Perlweiß	Oyster white	Blanc perlé	Blanco perla	Bianco perla	Parelwit	classic-11	
RAL 1014	Elfenbein	Ivory	Ivoire	Marfil	Avorio	Ivoorkleurig	classic-12	
RAL 1015	Hellelfenbein	Light ivory	Ivoire clair	Marfil claro	Avorio chiaro	Licht ivoorkleurig	classic-13	
RAL 1016	Schwefelgelb	Sulfur yellow	Jaune soufre	Amarillo azufre	Giallo zolfo	Zwavelgeel	classic-14	
RAL 1017	Safrangelb	Saffron yellow	Jaune safran	Amarillo azafrán	Giallo zafferano	Saffraangeel	classic-15	
RAL 1018	Zinkgelb	Zinc yellow	Jaune zinc	Amarillo de zinc	Giallo zinco	Zinkgeel	classic-16	
RAL 1019	Graubeige	Grey beige	Beige gris	Beige agrisado	Beige grigiastro	Grijsbeige	classic-17	
RAL 1020	Olivgelb	Olive yellow	Jaune olive	Amarillo oliva	Giallo olivastro	Olijfgeel	classic-18	
RAL 1021	Rapsgelb	Colza yellow	Jaune colza	Amarillo colza	Giallo navone	Koolzaadgeel	classic-19	
RAL 1023	Verkehrsgelb	Traffic yellow	Jaune signalisation	Amarillo tráfico	Giallo traffico	Verkeersgeel	classic-20	
