HLC	URL	DE	EN
000 15 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-1.png	Tintenschwarz	Ink black
000 20 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-2.png	Schieferschwarz	Slate black
000 25 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-3.png	Onyxschwarz	Onyx black
000 30 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-4.png	Mittelschwarz	Medium black
000 35 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-5.png	Brikettgrau	Briquette grey
000 40 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-6.png	Dunkelgrau	Dark grey
000 45 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-7.png	Architekturgrau	Architecture grey
000 50 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-8.png	Stahlgrau	Steel grey
000 55 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-9.png	Mittelgrau	Medium grey
000 60 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-10.png	Aschgrau	Ash grey
000 65 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-11.png	Mörtelgrau	Mortar grey
000 70 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-12.png	Leichtgrau	Light grey
000 75 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-13.png	Marmorgrau	Marble grey
000 80 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-14.png	Nebelgrau	Foggy grey
000 85 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-15.png	Schattenweiß	Shadow white
000 90 00	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-16.png	Winterweiß	Winter white
010 20 10	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-17.png	Wengeschwarz	Wenge Black
010 20 15	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-18.png	Kirschenschwarz	Cherry black
010 20 20	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-19.png	Dunkelmahagoni	Dark mahogany
010 20 25	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-20.png	Rostrot	Rusty red
010 30 10	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-21.png	Holzschwarzrot	Wood-black red
010 30 15	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-22.png	Nachtmauve	Night mauve
010 30 20	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-23.png	Rosigbraun	Pinkish brown
010 30 25	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-24.png	Kastanienrot	Chestnut red
010 30 30	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-25.png	Lederrot	Leather red
010 30 35	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-26.png	Anthrazitrot	Anthracite red
010 30 40	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-27.png	Braunmagenta	Brown magenta
010 30 44	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-28.png	Atlasrot	Atlas red
010 40 10	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-29.png	Caputmortuumgraurot	Caput mortuum grey red
010 40 15	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-30.png	Rostbraun	Rust brown
010 40 20	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-31.png	Abendrot	Sunset red
010 40 25	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-32.png	Mineralrot	Mineral red
010 40 30	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-33.png	Trübmagenta	Dull magenta
010 40 35	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-34.png	Samtrot	Velvet red
010 40 40	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-35.png	Algenrot	Algae red
010 40 45	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-36.png	Himbeereisrot	Raspberry ice red
010 40 50	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-37.png	Fuchsiarot	Fuchsia red
010 40 53	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-38.png	Urrot	Primal red
010 50 10	https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-39.png	Altmahagoni	Old mahogany
