HHH LL CC	Hue	Lightness	Chroma	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H000L15C00-P	0°	15%	0%	plastics-p2-1	
H000L40C00-P	0°	40%	0%	plastics-p2-2	
H000L55C00-P	0°	55%	0%	plastics-p2-3	
H000L55C00-P-T	0°	55%	0%	plastics-p2-4	
H000L85C00-P	0°	85%	0%	plastics-p2-5	
H010L30C44-P	10°	30%	44%	plastics-p2-6	
H010L40C53-P	10°	40%	53%	plastics-p2-7	
H010L40C53-P-T	10°	40%	53%	plastics-p2-8	
H010L60C45-P	10°	60%	45%	plastics-p2-9	
H010L80C20-P	10°	80%	20%	plastics-p2-10	
H020L20C20-P	20°	20%	20%	plastics-p2-11	
H020L30C40-P	20°	30%	40%	plastics-p2-12	
H020L50C58-P	20°	50%	58%	plastics-p2-13	
H020L50C58-P-T	20°	50%	58%	plastics-p2-14	
H020L90C10-P	20°	90%	10%	plastics-p2-15	
H030L30C20-P	30°	30%	20%	plastics-p2-16	
H030L40C30-P	30°	40%	30%	plastics-p2-17	
H030L40C30-P-T	30°	40%	30%	plastics-p2-18	
H030L60C30-P	30°	60%	30%	plastics-p2-19	
H030L80C10-P	30°	80%	10%	plastics-p2-20	
H040L30C40-P	40°	30%	40%	plastics-p2-21	
H040L50C60-P	40°	50%	60%	plastics-p2-22	
H040L50C60-P-T	40°	50%	60%	plastics-p2-23	
H040L60C60-P	40°	60%	60%	plastics-p2-24	
H040L80C20-P	40°	80%	20%	plastics-p2-25	
H050L30C30-P	50°	30%	30%	plastics-p2-26	
H050L50C50-P	50°	50%	50%	plastics-p2-27	
H050L50C78-P	50°	50%	78%	plastics-p2-28	
H050L50C78-P-T	50°	50%	78%	plastics-p2-29	
H050L80C20-P	50°	80%	20%	plastics-p2-30	
H060L30C27-P	60°	30%	27%	plastics-p2-31	
H060L50C50-P	60°	50%	50%	plastics-p2-32	
H060L60C80-P	60°	60%	80%	plastics-p2-33	
H060L60C80-P-T	60°	60%	80%	plastics-p2-34	
H060L80C30-P	60°	80%	30%	plastics-p2-35	
H070L40C40-P	70°	40%	40%	plastics-p2-36	
H070L70C80-P	70°	70%	80%	plastics-p2-37	
H070L70C80-P-T	70°	70%	80%	plastics-p2-38	
H070L80C50-P	70°	80%	50%	plastics-p2-39	
H070L90C10-P	70°	90%	10%	plastics-p2-40	
H075L40C38-P	75°	40%	38%	plastics-p2-41	
